"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"!cor modo claro","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n     Método de trocar cor no modo claro\n\n1- ➣ Vai no mt manager\n2- ➣ vai no whatsapp que vc tá editando clica em ""visualizar""\n3- ➣ clica em  resource/arsc editor/quando abrir clica em  com.whatsapp\n\n4- ➣color/color/clica nos 3 pontos/filtrar\nprocura por esses nomes\n\n----------------------------------------------\n\nMUDA ESSES TRÊS PRA MESMA COR \n\n1- primary\n\n1- primary_dark\n\n1- palettePrimaryBorder\n----------------------------------------------\nPara mudar a cor da call \n\n1- primary_voip (call) modo claro\n\n2- voipStatusBarColor\nmuda os dois pra mesma cor\n----------------------------------------------\n\nmuda a cor da letra e do gravador de áudio (dentro de onde escreve)(modo claro)\n\n1- primary_light\n\n----------------------------------------------\n1- primary_text_default_material_light \n\n(Para mudar a cor da letra do 3 pontos no modo claro)\n\n----------------------------------------------\n\n1- primaryButtonColor\n\n(para mudar o botão do canto da tela em baixo modo claro)\n----------------------------------------------  \nPara mudar o link da travas e link \n\nna pasta color \n\nLink_Color\n----------------------------------------------\nPara mudar a os nomes da configuração normal\n\n(muda os dois pra mesma cor)\n\n""settings_item_title_text"" (pode colocar uma cor mais forte aqui)\n\n""settings_item_subtitle_text"" (e uma fraca aqui)\n\n----------------------------------------------\nPara mudar a cor dos ícones da configuração dos 3 pontos\n\nProcura por \n \n""settings_icon""\n----------------------------------------------\nPara mudar a cor do nome das pessoas \n\nProcura por\n\n""list_item_title""\n----------------------------------------------\nPara mudar o texto dentro da conversa\n\nProcura por\n\n""black_alpha_87""\n\n----------------------------------------------\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!cor 1","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n     Método de trocar cor no modo claro\n\n1- ➣ Vai no mt manager\n2- ➣ vai no whatsapp que vc tá editando clica em ""visualizar""\n3- ➣ clica em  resource/arsc editor/quando abrir clica em  com.whatsapp\n\n4- ➣color/color/clica nos 3 pontos/filtrar\nprocura por esses nomes\n\n----------------------------------------------\n\nMUDA ESSES TRÊS PRA MESMA COR \n\n1- primary\n\n1- primary_dark\n\n1- palettePrimaryBorder\n----------------------------------------------\nPara mudar a cor da call \n\n1- primary_voip (call) modo claro\n\n2- voipStatusBarColor\nmuda os dois pra mesma cor\n----------------------------------------------\n\nmuda a cor da letra e do gravador de áudio (dentro de onde escreve)(modo claro)\n\n1- primary_light\n\n----------------------------------------------\n1- primary_text_default_material_light \n\n(Para mudar a cor da letra do 3 pontos no modo claro)\n\n----------------------------------------------\n\n1- primaryButtonColor\n\n(para mudar o botão do canto da tela em baixo modo claro)\n----------------------------------------------  \nPara mudar o link da travas e link \n\nna pasta color \n\nLink_Color\n----------------------------------------------\nPara mudar a os nomes da configuração normal\n\n(muda os dois pra mesma cor)\n\n""settings_item_title_text"" (pode colocar uma cor mais forte aqui)\n\n""settings_item_subtitle_text"" (e uma fraca aqui)\n\n----------------------------------------------\nPara mudar a cor dos ícones da configuração dos 3 pontos\n\nProcura por \n \n""settings_icon""\n----------------------------------------------\nPara mudar a cor do nome das pessoas \n\nProcura por\n\n""list_item_title""\n----------------------------------------------\nPara mudar o texto dentro da conversa\n\nProcura por\n\n""black_alpha_87""\n\n----------------------------------------------\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!cor 2","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n    Método trocar de cor no modo escuro\n\n1- ➣ Vai no mt manager\n\n2- ➣ vai no whatsapp que vc tá editando clica em ""visualizar""\n\n3- ➣ clica em  resource/arsc editor/quando abrir clica em  com.whatsapp\n\n\n\n4- ➣color/color/clica nos 3 pontos/filtrar\n\nprocura por  esses nomes\n\n\n\n----------------------------------------------\n\n\n\nMUDAR A COR DAS LETRAS DA HOME E DA CONVERSA\n\n\n\nprocura por: \n\n\n\n1-paletteOnSurfacePrimary \n\n(vai mudar a cor da tela inicial\n\ntipo, cor do nome da pessoa e a mensagem de baixo)\n\n\n\n2-paletteOnSurfaceSecondary\n\n(vai mudar a cor das guias tipo \n\nconversa, status, chamadas)\n\n-----------------------------------------------\n\nPARA COLOCAR O WHATSAPP TODO PRETO\n\n\n\n(coloca todos da mesma cor)\n\n\n\nProcura por: \n\n\n\n1 - paletteSurface_1dp\n\n\n\n2 - paletteSurface_2dp\n\n\n\n3 - paletteSurface_3dp\n\n\n\n4 - paletteSurface_4dp\n\n\n\n5 - paletteSurface_dark\n\n\n\n6 - paletteSurface_24dp\n\n\n\n7 - paletteSurface\n\n\n\n8 - paletteSurface_8dp\n\n----------------------------------------------\n\nmudar a cor quando vc selecionar uma mensagem\n\n\n\n(dica, coloca uma cor mas transparente)\n\n\n\nTipo: 9AFF0000 (vermelho)\n\n\n\nProcura por:\n\n\n\npalettePrimary_alpha_28\n\n----------------------------------------------\n\nMUDAR COR DO ÍCONE DO CONTADOR DE MENSAGEM NA HOME &\n\n\n\nO NÚMERO DENTRO DO CONTADOR \n\n\n\nProuca por:\n\n\n\n1- palettePrimary\n\n\n\nmudar a cor do número \n\n\n\n1- paletteOnPrimary\n\n----------------------------------------------\n\nPARA MUDAR A COR DA  ONDE FICA;\n\n\n\n(DIGITE UMA MENSAGEM) OU (SEU NICK)\n\n\n\nProcure por; \n\npaletteOnSurfaceDisabled\n\n--------------------------------------------\n\nPARA MUDAR A LINHA DA TELA INICIAL E QUANDO VC ABRE AS INFORMAÇÕES DO GRUPO\n\n\n\nNOTA:\n\nquando vc abrir para pegar alguma foto para enviar vai mudar a cor \n\n\n\nProcure por;\n\npaletteOnSurfaceBorder\n\n----------------------------------------------\n\nPara mudar a cor do link e da trava ctt \n\n\n\nNa pasta color-night\n\n\n\n2 - Procura por;\n\n\n\nLink_Color\n\n----------------------------------------------\n\nPara mudar a cor da call (modo escuro)\n\n\n\n1- Procura por;\n\n ""palettePrimaryVariant""\n\n\n\n----------------------------------------------\n\nPara mudar a cor do adm do grupo quando abre a informação do grupo\n\n\n\n1- Procura por\n\n""group_admin""\n\n\n\n2- Procura por \n\n""group_admin"" em color-night e muda de ""referência"" para ""cor"" e muda pra cor que vc desejar \n\n-----------------------------------------------\n\nPara mudar o tick quando a pessoa visualiza  e quando manda mensagem de áudio\n\n\n\n1- Procura por\n\n""msgStatusReadTint"" \n\n\n\n\n\n-----------------------------------------------\n\nPara mudar a cor quando abre o WhatsApp\n\n1- Procura por:\n\n""splash_background""\n\n\n\n-----------------------------------------------\n\nPara mudar os ícones e as letras da notificação \n\n\n\n1- Procura por:\n\n""primary_notification""\n\n-----------------------------------------------\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!cor modo escuro","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n    Método trocar de cor no modo escuro\n\n1- ➣ Vai no mt manager\n\n2- ➣ vai no whatsapp que vc tá editando clica em ""visualizar""\n\n3- ➣ clica em  resource/arsc editor/quando abrir clica em  com.whatsapp\n\n\n\n4- ➣color/color/clica nos 3 pontos/filtrar\n\nprocura por  esses nomes\n\n\n\n----------------------------------------------\n\n\n\nMUDAR A COR DAS LETRAS DA HOME E DA CONVERSA\n\n\n\nprocura por: \n\n\n\n1-paletteOnSurfacePrimary \n\n(vai mudar a cor da tela inicial\n\ntipo, cor do nome da pessoa e a mensagem de baixo)\n\n\n\n2-paletteOnSurfaceSecondary\n\n(vai mudar a cor das guias tipo \n\nconversa, status, chamadas)\n\n-----------------------------------------------\n\nPARA COLOCAR O WHATSAPP TODO PRETO\n\n\n\n(coloca todos da mesma cor)\n\n\n\nProcura por: \n\n\n\n1 - paletteSurface_1dp\n\n\n\n2 - paletteSurface_2dp\n\n\n\n3 - paletteSurface_3dp\n\n\n\n4 - paletteSurface_4dp\n\n\n\n5 - paletteSurface_dark\n\n\n\n6 - paletteSurface_24dp\n\n\n\n7 - paletteSurface\n\n\n\n8 - paletteSurface_8dp\n\n----------------------------------------------\n\nmudar a cor quando vc selecionar uma mensagem\n\n\n\n(dica, coloca uma cor mas transparente)\n\n\n\nTipo: 9AFF0000 (vermelho)\n\n\n\nProcura por:\n\n\n\npalettePrimary_alpha_28\n\n----------------------------------------------\n\nMUDAR COR DO ÍCONE DO CONTADOR DE MENSAGEM NA HOME &\n\n\n\nO NÚMERO DENTRO DO CONTADOR \n\n\n\nProuca por:\n\n\n\n1- palettePrimary\n\n\n\nmudar a cor do número \n\n\n\n1- paletteOnPrimary\n\n----------------------------------------------\n\nPARA MUDAR A COR DA  ONDE FICA;\n\n\n\n(DIGITE UMA MENSAGEM) OU (SEU NICK)\n\n\n\nProcure por; \n\npaletteOnSurfaceDisabled\n\n--------------------------------------------\n\nPARA MUDAR A LINHA DA TELA INICIAL E QUANDO VC ABRE AS INFORMAÇÕES DO GRUPO\n\n\n\nNOTA:\n\nquando vc abrir para pegar alguma foto para enviar vai mudar a cor \n\n\n\nProcure por;\n\npaletteOnSurfaceBorder\n\n----------------------------------------------\n\nPara mudar a cor do link e da trava ctt \n\n\n\nNa pasta color-night\n\n\n\n2 - Procura por;\n\n\n\nLink_Color\n\n----------------------------------------------\n\nPara mudar a cor da call (modo escuro)\n\n\n\n1- Procura por;\n\n ""palettePrimaryVariant""\n\n\n\n----------------------------------------------\n\nPara mudar a cor do adm do grupo quando abre a informação do grupo\n\n\n\n1- Procura por\n\n""group_admin""\n\n\n\n2- Procura por \n\n""group_admin"" em color-night e muda de ""referência"" para ""cor"" e muda pra cor que vc desejar \n\n-----------------------------------------------\n\nPara mudar o tick quando a pessoa visualiza  e quando manda mensagem de áudio\n\n\n\n1- Procura por\n\n""msgStatusReadTint"" \n\n\n\n\n\n-----------------------------------------------\n\nPara mudar a cor quando abre o WhatsApp\n\n1- Procura por:\n\n""splash_background""\n\n\n\n-----------------------------------------------\n\nPara mudar os ícones e as letras da notificação \n\n\n\n1- Procura por:\n\n""primary_notification""\n\n-----------------------------------------------\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!cor","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n               ๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐜𝐥𝐚𝐫𝐨\n-!cor 1\n-!cor modo claro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐞𝐬𝐜𝐮𝐫𝐨\n-!cor 2\n-!cor modo escuro \n\nVÍDEO COMPLETO\nhttps://youtu.be/6iABuROMM0o\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!cores","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n               ๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐜𝐥𝐚𝐫𝐨\n-!cor 1\n-!cor modo claro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐞𝐬𝐜𝐮𝐫𝐨\n-!cor 2\n-!cor modo escuro \n\nVÍDEO COMPLETO\nhttps://youtu.be/6iABuROMM0o\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!color","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n               ๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐜𝐥𝐚𝐫𝐨\n-!cor 1\n-!cor modo claro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐦𝐨𝐝𝐨 𝐞𝐬𝐜𝐮𝐫𝐨\n-!cor 2\n-!cor modo escuro \n\nVÍDEO COMPLETO\nhttps://youtu.be/6iABuROMM0o\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!whatsapp","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n        ๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨:\nhttps://youtu.be/I5rnhr2qNv0\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐫𝐞𝐦𝐨𝐯𝐞𝐫 𝐨𝐛𝐬𝐨𝐥𝐞𝐭𝐨:\nhttps://youtu.be/jzYiASCFCQc\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨𝐜𝐨𝐫𝐞𝐬 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩:\nhttps://youtu.be/6iABuROMM0o\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐟𝐢𝐜𝐚𝐫 𝐢𝐦𝐮𝐧𝐞 𝐚 𝐭𝐫𝐚𝐯𝐚 𝐭𝐱𝐭:\nhttps://youtu.be/mLw-_GP0IV0\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!whatsapp do zero","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n        ๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨:\nhttps://youtu.be/I5rnhr2qNv0\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐫𝐞𝐦𝐨𝐯𝐞𝐫 𝐨𝐛𝐬𝐨𝐥𝐞𝐭𝐨:\nhttps://youtu.be/jzYiASCFCQc\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨𝐜𝐨𝐫𝐞𝐬 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩:\nhttps://youtu.be/6iABuROMM0o\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐟𝐢𝐜𝐚𝐫 𝐢𝐦𝐮𝐧𝐞 𝐚 𝐭𝐫𝐚𝐯𝐚 𝐭𝐱𝐭:\nhttps://youtu.be/mLw-_GP0IV0\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!whatsapp imune","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n            ๖ۣۜ𝐌𝐞𝐥𝐡𝐨𝐫𝐞𝐬 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐒𝐨𝐮𝐳𝐚 𝐖𝐀 𝐕 (𝐩𝐫𝐢𝐦𝐚𝐫𝐢𝐨)\nhttps://youtu.be/LLu5b_hUooQ\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐒𝐨𝐮𝐳𝐚 𝐖𝐀 𝐕𝐈 (𝐬𝐞𝐜𝐮𝐧𝐝𝐚𝐫𝐢𝐨)\nhttps://youtu.be/YIVQdzaTKJQ\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐒𝐎𝐔𝐙𝐀 𝐄𝐋𝐈𝐓𝐄 (5 terciários)\nhttps://youtu.be/ADVE-_GsGCk\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!imunizar","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                ๖ۣۜ𝐌𝐞𝐭𝐨𝐝𝐨𝐬 𝐝𝐞 𝐢𝐦𝐮𝐧𝐢𝐳𝐚𝐫\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n-!imunizar a localização\n-!imunizar a contato\n-!imunizar a texto\n-!imunizar a emoji\n-!imunizar a catálogo\n-!imunizar a vídeo (em breve)\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!imune","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                ๖ۣۜ𝐌𝐞𝐭𝐨𝐝𝐨𝐬 𝐝𝐞 𝐢𝐦𝐮𝐧𝐢𝐳𝐚𝐫\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n-!imunizar a localização\n-!imunizar a contato\n-!imunizar a texto\n-!imunizar a emoji\n-!imunizar a catálogo\n-!imunizar a vídeo (em breve)\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!imunizar a localização","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n               ๖ۣۜ𝐈𝐦𝐮𝐧𝐢𝐳𝐚𝐫 𝐚 𝐥𝐨𝐜𝐚𝐥𝐢𝐳𝐚𝐜𝐚𝐨\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n         Opção 1:\n         https://youtu.be/bVZG1v_HWoE\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n         Opção 2:\n         https://youtu.be/cD0wYuhD1pM\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!imunizar a texto","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                     ๖ۣۜ𝐈𝐦𝐮𝐧𝐢𝐳𝐚𝐫 𝐚 𝐭𝐞𝐱𝐭𝐨\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n\n          Opção 1:\n          https://youtu.be/mLw-_GP0IV0\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n\n          Opção 2:\n          https://youtu.be/VRI5UbbR2hc\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!imunizar a contato","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                   ๖ۣۜ𝐈𝐦𝐮𝐧𝐢𝐳𝐚𝐫 𝐚 𝐜𝐨𝐧𝐭𝐚𝐭𝐨\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n\n         https://youtu.be/uFPisMfQEWU\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!sammods","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                   ๖ۣۜ𝐁𝐚𝐬𝐞𝐬 𝐝𝐨 𝐬𝐚𝐦𝐦𝐨𝐝𝐬\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.206.11 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/mz6og2e3kr17eh8/WhatsApp_2.20.206.11-.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.206.6 With Privacy\nhttp://www.mediafire.com/file/mzx829ubnlp2b7u/WhatsApp_2.20.206.6..apk/file \n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.203.2 With Privacy\nhttps://www.mediafire.com/file/sndk6kmlfgtqh45/WhatsApp_2.20.203.2..apk/file \n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.202.6 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/8bjntsz0y9alq4q/WhatsApp_2.20.202.6.a.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.202.2 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/as08jw4c7k5hkn3/WhatsApp_2.20.202.2..apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.201.13 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/olic80wu44wfohn/WhatsApp_2.20.201.13.apk-new.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.201.4 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/g8zl1s0yowvk6lo/WhatsApp_2.20.201.4.a.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.200.6 With Fixed Privacy SCREEN FIX [ Latest Base ]\nhttp://www.mediafire.com/file/5a9s4k2vao0ecbq/WhatsApp_2.20.200.6-Fixed.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.200.6 With Fixed Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/5a9s4k2vao0ecbq/WhatsApp_2.20.200.6-Fixed.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.199.6 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/c41693hkrregdbb/WhatsApp_2.20.199.6.a.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.198.5 With Privacy [ Latest Base ]\nhttp://www.mediafire.com/file/bpo260x8fca5dw2/WhatsApp_2.20.198.5..apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.198.2 With Privacy Fixed [ Added Delete Icon 🚫 ]\nhttp://www.mediafire.com/file/3fhfz523z0ok5ad/WhatsApp_2.20.198.2_Fix.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.197.12 With Privacy [ Latest Base ]\nhttps://www.mediafire.com/file/furmgrtp1x6woa2/WhatsApp_2.20.197.12.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.196.4 With Privacy [ Latest Base ]\nhttps://www.mediafire.com/file/u9mrvc25gv0jau6/WhatsApp_2.20.196.4.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.194.10 With Privacy [ Latest Base ]\nhttps://www.mediafire.com/file/el88cvv63znwir5/WhatsApp_2.20.194.10..apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n\nWhatsApp Base 2.20.164 With Privacy [ Latest Base mode ]\nhttps://www.mediafire.com/file/u25in7k14zwzq3g/WhatsApp_2.20.164.apk/file\n\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!bases secundarias","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                     ๖ۣۜ𝐁𝐚𝐬𝐞𝐬 𝐬𝐞𝐜𝐮𝐧𝐝𝐚𝐫𝐢𝐚𝐬\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜYoWhatsApp V6.0 (anti-ban)\n\nhttps://www.mediafire.com/file/3rqhg5cpv7bkdhb/YOWA_Bussines_6.0.apk/file%22\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜYoWhatsApp Gold V10.15 (anti-ban)\n\nhttps://www.mediafire.com/file/mdsd1h9mxp3q0c7/YOWA_10.15.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜYoWhatsApp V8.65 (anti-ban)\n\nhttps://www.mediafire.com/file/7mtkd2pmfzdao6c/YOWA.8.65_By-SamMods.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜGBWhatsApp V11.00 (anti-ban)\n\nhttps://www.mediafire.com/file/hrjjv9rcj4seg5k/GBWA_V11.00_By.SamMods.apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜWhatsApp GO V0.20.113L (anti-ban)\n\nhttp://www.mediafire.com/file/zg03x6pmq8z3uju/WhatsAppGOEdition...apk/file\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜFMWhatsApp V8.65 (anti-ban)\n\nhttps://www.mediafire.com/file/j41etg3k4kg0gh8/FMWA.8.65_By_SamMods.apk/file_\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"%Mensagem_de_boas-vindas%","welcome","%name%\nOLÁ EU SOU UM BOT MODDER\n━━━━━━━━━━━━━━━━━━━━━━━━━━ PRA VER MINHAS CONFIGURAÇÕES !VIP\n━━━━━━━━━━━━━━━━━━━━━━━━━━\nME COLOQUE COMO ADM","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"!tag","none","卐⃢⃟ 𝐋𝐒<#>USE A TAG (NÃO É OBRIGATÓRIO)","all","","","b","","","","","0","","","","","","","","seconds","0","0"
